mass_A
t	x	y
0.000000000E0	-5.794662415E-1	3.168954455E-1
1.000000000E-2	-5.794636241E-1	3.168962343E-1
2.000000000E-2	-5.794633415E-1	3.169052774E-1
3.000000000E-2	-5.794541115E-1	3.169026934E-1
4.000000000E-2	-5.794416098E-1	3.168952586E-1
5.000000000E-2	-5.794167332E-1	3.168987719E-1
6.000000000E-2	-5.793023448E-1	3.168904976E-1
7.000000000E-2	-5.788239171E-1	3.167508572E-1
8.000000000E-2	-5.785523428E-1	3.158851299E-1
9.000000000E-2	-5.778086814E-1	3.147020972E-1
1.000000000E-1	-5.764988209E-1	3.133814220E-1
1.100000000E-1	-5.749690329E-1	3.110456244E-1
1.200000000E-1	-5.730978615E-1	3.087812579E-1
1.300000000E-1	-5.708230081E-1	3.060459715E-1
1.400000000E-1	-5.680706300E-1	3.025974615E-1
1.500000000E-1	-5.649707151E-1	2.988833294E-1
1.600000000E-1	-5.618492227E-1	2.949400623E-1
1.700000000E-1	-5.578092166E-1	2.901849746E-1
1.800000000E-1	-5.534514000E-1	2.854820270E-1
1.900000000E-1	-5.492563953E-1	2.801862771E-1
2.000000000E-1	-5.445918588E-1	2.745985657E-1
2.100000000E-1	-5.398529550E-1	2.685108651E-1
2.200000000E-1	-5.344623905E-1	2.619476868E-1
2.300000000E-1	-5.289279840E-1	2.552839063E-1
2.400000000E-1	-5.226145988E-1	2.481752615E-1
2.500000000E-1	-5.162219170E-1	2.409075865E-1
2.600000000E-1	-5.093131641E-1	2.330447636E-1
2.700000000E-1	-5.019281876E-1	2.251410244E-1
2.800000000E-1	-4.945702933E-1	2.175286912E-1
2.900000000E-1	-4.860544108E-1	2.085228570E-1
3.000000000E-1	-4.768931882E-1	2.020218075E-1
3.100000000E-1	-4.683280469E-1	1.911599049E-1
3.200000000E-1	-4.589250840E-1	1.825894387E-1
3.300000000E-1	-4.486605275E-1	1.732922133E-1
3.400000000E-1	-4.384738561E-1	1.647154295E-1
3.500000000E-1	-4.271431041E-1	1.556676140E-1
3.600000000E-1	-4.153348990E-1	1.465721968E-1
3.700000000E-1	-4.032481897E-1	1.375005317E-1
3.800000000E-1	-3.906394177E-1	1.286487446E-1
3.900000000E-1	-3.771403331E-1	1.200322166E-1
4.000000000E-1	-3.636530815E-1	1.116354721E-1
4.100000000E-1	-3.490786641E-1	1.029874404E-1
4.200000000E-1	-3.346801145E-1	9.497529135E-2
4.300000000E-1	-3.193187488E-1	8.723429861E-2
4.400000000E-1	-3.035229167E-1	7.927193989E-2
4.500000000E-1	-2.864700135E-1	7.313047647E-2
4.600000000E-1	-2.713651071E-1	6.510059074E-2
4.700000000E-1	-2.542341972E-1	5.848232107E-2
4.800000000E-1	-2.371513000E-1	5.243314637E-2
4.900000000E-1	-2.197356003E-1	4.695466667E-2
5.000000000E-1	-2.016821510E-1	4.136306418E-2
5.100000000E-1	-1.836342806E-1	3.666305304E-2
5.200000000E-1	-1.656016868E-1	3.244516658E-2
5.300000000E-1	-1.468199708E-1	2.808688932E-2
5.400000000E-1	-1.283633019E-1	2.447173881E-2
5.500000000E-1	-1.102993314E-1	2.212421523E-2
5.600000000E-1	-9.069654624E-2	1.893643231E-2
5.700000000E-1	-7.146474522E-2	1.675387587E-2
5.800000000E-1	-5.308287761E-2	1.505862878E-2
